transaction_id,date,department,region,category,budget,actual
TXN-000142,01-Feb-2024,H.R.,Emea,travel,9039.23,9694.12
TXN-001247,01-May-2025,IT,North America,Travel & Expenses,8600.0,9025.54
TXN-000522,07/01/2024,Human Resources,APAC,Travel & Expenses,7400.0,8332.12
TXN-000992,February 2025, Sales,N. America,travel,9039.23,8936.15
TXN-000823,01-Nov-2024,Human Resources,apac,software,13875.0,12520.93
TXN-000682,01-Oct-2024,Marketing,Emea,Travel & Expenses,6960.77,6511.01
TXN-000574,01/08/2024,IT,NA,Ads,17401.92,13371.61
TXN-001350,01/06/2025,HR,Apac,equipment,10000.0,11888.99
TXN-000016,01/01/2024,sales,N. America,Payroll,86000.0,91613.91
TXN-001156,2025-04-01,operations,NA,PAYROLL,90392.3,-99396.31
TXN-001800,01-Dec-2025,Human Resources,APAC,equipment,10000.0,10214.05
TXN-000157,March 2024,marketing,Emea,Travel,9200.0,10769.31
TXN-000704,01/10/2024,Sales,APAC,Advertising,17401.92,16166.33
TXN-000875,December 2024,IT,north america,equipment,10000.0,11046.55
TXN-000881,December 2024,it,apac,payroll,80000.0,101427.98
TXN-000662,September 2024,HR,NA,Travel & Expenses,6800.0,7004.89
TXN-000768,11/01/2024, Sales,North America,SW,13875.0,11427.92
TXN-000806,November 2024,IT,APAC,payroll,74000.0,62478.68
TXN-001609,October 2025,Operations,north america,Advertising,17401.92,13357.54
TXN-001730,12/01/2025,Mktg,North America,Equipment,10000.0,9083.14
TXN-000669,09/01/2024,Human Resources,EMEA,Advertising,17000.0,15367.58
TXN-000187,2024-03-01,operations,emea,Travel,9200.0,11631.03
TXN-000490,01-Jul-2024,operations,emea,Equip.,,7947.62
TXN-001531,01-Sep-2025,OPERATIONS,North America,payroll,68000.0,68710.68
TXN-000140,02/01/2024,HR,NA,equipment,11299.04,11042.47
TXN-001769,December 2025,Ops,Apac,Ads,20000.0,20223.73
TXN-000558,01/08/2024,operations,NA,SW,13051.44,13674.96
TXN-001578,10/01/2025,Mktg,N. America,software,13051.44,9933.93
TXN-000708,10/01/2024,Operations,North America,SW,13051.44,12937.54
TXN-000932,2025-01-01,OPERATIONS,north america,travel,8600.0,8101.34
TXN-001534,2025-09-01,Operations,north america,Ads,17000.0,20610.36
TXN-001363,01-Jul-2025,MKT,apac,SW,13875.0,17147.78
TXN-001093,01/03/2025,OPERATIONS,Apac,software,17250.0,14225.91
TXN-001125,03/01/2025,hr,Asia Pacific,Equip.,11500.0,
TXN-001316,01-Jun-2025,Ops,,PAYROLL,80000.0,85917.01
TXN-000167,2024-03-01,Sales,north america,Travel,9200.0,8780.76
TXN-000425,2024-06-01,it,North America,equipment,10000.0,8842.42
TXN-000071,2024-01-01,HR,apac,PAYROLL,86000.0,97586.0
TXN-001198,April 2025,Human Resources,APAC,Software,16948.56,14832.99
TXN-000865,01-Dec-2024,Ops,EMEA,Equipment,,11976.11
TXN-000047,2024-01-01,IT,NA,Travel,8600.0,7669.04
TXN-001252,2025-05-01,IT,Emea,travel,,7853.62
TXN-001732,12/01/2025,marketing,EMEA,Travel & Expenses,8000.0,8817.8
TXN-000562,2024-08-01,operations,EMEA,Travel,6960.77,"$6,809.02"
TXN-000433,June 2024,IT,APAC,SW,15000.0,13465.95
TXN-001307,01/06/2025,Operations,NA,Travel,8000.0,7802.5
TXN-000371,01-May-2024,HR,Asia Pacific,PAYROLL,86000.0,60143.42
TXN-001515,01/09/2025,Marketing,APAC,Equipment,8500.0,8001.98
TXN-001734,01/12/2025,Mktg,Emea,Ads,20000.0,19212.28
TXN-001192,04/01/2025,HR,EMEA,Travel & Expenses,9039.23,9375.51
TXN-000850,December 2024, Sales,emea,Equipment,10000.0,10769.21
TXN-000905,01-Jan-2025,marketing,North America,equipment,10750.0,9333.95
TXN-001386,July 2025,operations,emea,payroll,74000.0,67861.41
TXN-000195,2024-03-01,operations,apac,Equipment,11500.0,12220.3
TXN-000518,01/07/2024,HR,EMEA,software,13875.0,14716.32
TXN-000996,01/02/2025,SALES,emea,Payroll,90392.3,105052.88
TXN-000387,01/06/2024,Mktg,apac,Travel,8000.0,9276.78
TXN-001355,01/07/2025,marketing,North America,equipment,9250.0,9968.07
TXN-001490,August 2025,hr,North America,Equip.,8700.96,9416.57
TXN-000748,2024-10-01,HR,,software,13051.44,17948.85
TXN-000799,November 2024,IT,north america,Ads,18500.0,23145.86
TXN-000989,01-Feb-2025,Marketing,apac,Ads,22598.08,27590.47
TXN-000150,February 2024,Human Resources,APAC,equipment,11299.04,13025.84
TXN-001253,01-May-2025,Information Technology,EMEA,Software,16125.0,13099.11
TXN-000442,01-Jun-2024,HR,Emea,Travel & Expenses,,
TXN-001398,07/01/2025,Information Technology,NA,Software,13875.0,12884.45
TXN-000276,April 2024,IT,emea,payroll,90392.3,"$90,194.09"
TXN-000520,July 2024,HR,emea,equipment,9250.0,10294.86
TXN-000137,01/02/2024,HR,N. America,Travel & Expenses,9039.23,10309.36
TXN-000051,2024-01-01,I.T.,emea,Payroll,86000.0,68990.87
TXN-001424,2025-07-01,HR,Asia Pacific,Ads,18500.0,16041.13
TXN-000576,01-Aug-2024,Information Technology,EMEA,Payroll,69607.7,50761.85
TXN-001765,2025-12-01,operations,Emea,Equipment,10000.0,7145.8
TXN-001199,April 2025,hr,Apac,Ads,22598.08,18483.99
TXN-001510,September 2025,Mktg,EMEA,Equipment,8500.0,8394.69
TXN-001308,01-Jun-2025,Operations,North America,SW,15000.0,16937.47
TXN-000484,July 2024,OPERATIONS,N. America,advertising,18500.0,19447.46
TXN-001322,2025-06-01,I.T.,N. America,Travel,8000.0,6811.38
TXN-001259,2025-05-01,Information Technology,APAC,Ads,21500.0,17865.06
TXN-001074,03/01/2025,Sales,Emea,advertising,23000.0,17349.93
TXN-000052,2024-01-01,IT,emea,travel,8600.0,7717.05
TXN-000134,02/01/2024,I.T.,apac,Ads,22598.08,23932.86
TXN-001461,01/08/2025,Operations,EMEA,PAYROLL,69607.7,67394.13
TXN-001085,03/01/2025,Operations,north america,Equip.,11500.0,11594.05
TXN-000514,01-Jul-2024,Human Resources,north america,Advertising,18500.0,
TXN-000608,01-Sep-2024,MKT,EMEA,Software,12750.0,
TXN-001798,01/12/2025,H.R.,apac,SW,15000.0,
TXN-000724,2024-10-01,IT,N. America,Advertising,17401.92,17062.57
TXN-000653,09/01/2024,it,emea,software,12750.0,12595.42
TXN-000940,2025-01-01,Ops,emea,Equip.,10750.0,8025.32
TXN-001666,November 2025,sales,N. America,,74000.0,71960.17
TXN-001577,01-Oct-2025,Marketing,north america,Travel & Expenses,6960.77,4396.67
TXN-001358,07/01/2025,Marketing ,emea,software,13875.0,12053.27
TXN-001321,01/06/2025,IT,NA,payroll,80000.0,95670.86
TXN-000786,01-Nov-2024,operations,Emea,Payroll,74000.0,72919.95
TXN-001648,01-Oct-2025,H.R.,APAC,software,13051.44,10200.91
TXN-001477,01/08/2025,IT,,Travel & Expenses,6960.77,8245.0
TXN-000578,01-Aug-2024,IT,Emea,software,13051.44,16885.24
TXN-001254,01-May-2025,IT,,advertising,21500.0,32007.14
TXN-001581,10/01/2025,MKT,Emea,Payroll,69607.7,66895.61
TXN-000223,03/01/2024,HR,apac,SW,17250.0,15329.23
TXN-001091,03/01/2025,Operations,Apac,payroll,92000.0,
TXN-000270,04/01/2024,Operations,apac,equipment,11299.04,12079.02
TXN-001621,01-Oct-2025,IT,N. America,Payroll,69607.7,85709.1
TXN-000600,01-Aug-2024,H.R.,apac,equipment,8700.96,9909.81
TXN-000575,08/01/2024,it,,Equipment,8700.96,9663.45
TXN-000665,2024-09-01,HR,N. America,Equip.,8500.0,7614.84
TXN-000895,12/01/2024,H.R.,EMEA,equipment,10000.0,11496.44
TXN-000504,July 2024,Information Technology,EMEA,Ads,18500.0,21528.37
TXN-001109,01/03/2025,Information Technology,Asia Pacific,advertising,23000.0,21679.35
TXN-000426,01/06/2024,I.T.,EMEA,PAYROLL,80000.0,70728.63
TXN-001757,01-Dec-2025,Operations,north america,travel,8000.0,8295.28
TXN-001612,2025-10-01,Ops,emea,Travel & Expenses,6960.77,8556.37
TXN-000357,01/05/2024,Information Technology,Asia Pacific,Travel & Expenses,8600.0,414714.50000000006
TXN-000254,01/04/2024,Sales,Asia Pacific,advertising,22598.08,19540.72
TXN-000405,01-Jun-2024,sales,apac,Equip.,10000.0,
TXN-001359,01-Jul-2025,Mktg,EMEA,Advertising,18500.0,21297.11
TXN-000841,12/01/2024,SALES,NA,payroll,80000.0,83713.45
TXN-001115,01-Mar-2025,Human Resources,NA,equipment,11500.0,9643.47
TXN-000524,07/01/2024,Human Resources,Asia Pacific,Advertising,18500.0,17432.47
TXN-000911,01/01/2025,marketing,Apac,Payroll,86000.0,85165.84
TXN-001332,June 2025,Information Technology,Apac,travel,8000.0,7922.9
TXN-000993,February 2025,SALES,N. America,SW,16948.56,19662.31
TXN-000984,01-Feb-2025,Marketing ,EMEA,,22598.08,21795.94
TXN-000088,02/01/2024,marketing,Apac,SW,16948.56,18670.11
TXN-000462,July 2024,Mktg,apac,Travel,7400.0,7096.99
TXN-000496,01/07/2024,Information Technology,NA,PAYROLL,74000.0,63461.12
TXN-000431,June 2024,I.T.,Apac,PAYROLL,80000.0,72011.08
TXN-001177,2025-04-01,IT,emea,travel,9039.23,8711.9
TXN-000247,04/01/2024,Sales,emea,Travel,9039.23,8494.54
TXN-000637,September 2024,OPERATIONS,emea,Travel,6800.0,5759.11
TXN-000758,01-Nov-2024,Marketing,emea,Software,13875.0,13603.54
TXN-000913,01-Jan-2025,Marketing,Asia Pacific,Software,16125.0,17032.99
TXN-000547,2024-08-01,sales,EMEA,Travel & Expenses,6960.77,7600.01
TXN-001154,2025-04-01,sales,,Advertising,22598.08,
TXN-001440,August 2025,MKT,APAC,Equipment,8700.96,8871.08
TXN-001728,01-Dec-2025,Marketing,N. America,SW,15000.0,11324.53
TXN-001639,2025-10-01,hr,north america,Advertising,17401.92,20058.78
TXN-001062,2025-03-01,marketing,APAC,Travel,9200.0,8985.7
TXN-000505,01-Jul-2024,I.T.,emea,Equipment,9250.0,9969.05
TXN-000027,January 2024,SALES,Asia Pacific,travel,8600.0,8288.07
TXN-000587,08/01/2024,H.R.,NA,travel,6960.77,7012.52
TXN-000476,2024-07-01,sales,APAC,PAYROLL,74000.0,73881.66
TXN-001472,01/08/2025,Information Technology,north america,Travel,6960.77,7381.52
TXN-001452,01/08/2025,Sales,APAC,travel,6960.77,6655.74
TXN-001434,2025-08-01,MKT,EMEA,Advertising,17401.92,14540.58
TXN-000577,01-Aug-2024,it,Emea,Travel & Expenses,6960.77,5746.76
TXN-001565,September 2025,H.R.,North America,equipment,8500.0,8291.88
TXN-001473,August 2025,I.T.,north america,Software,13051.44,12314.05
TXN-001329,2025-06-01,it,emea,Advertising,20000.0,18617.11
TXN-000545,August 2024,Sales,North America,equipment,8700.96,8298.06
TXN-000945,01-Jan-2025,Operations,apac,Equipment,10750.0,10127.03
TXN-000723,10/01/2024,Information Technology,north america,Software,13051.44,12964.71
TXN-000657,09/01/2024,it,Asia Pacific,Travel & Expenses,6800.0,8288.48
TXN-000428,01-Jun-2024,I.T.,EMEA,software,15000.0,16755.26
TXN-001476,August 2025,IT,Emea,Payroll,69607.7,84636.87
TXN-000488,01/07/2024,OPERATIONS,emea,Software,13875.0,11147.01
TXN-001438,01/08/2025,marketing,apac,software,13051.44,12056.52
TXN-000942,01-Jan-2025,operations,Asia Pacific,Travel & Expenses,,6978.91
TXN-000048,01-Jan-2024,I.T.,NA,software,16125.0,"$13,567.17"
TXN-001320,2025-06-01,operations,Asia Pacific,Equipment,10000.0,9039.87
TXN-000817,11/01/2024,HR,emea,Travel & Expenses,7400.0,7391.18
TXN-000579,01-Aug-2024,it,Emea,advertising,17401.92,18841.7
TXN-000734,10/01/2024,IT,Apac,Advertising,17401.92,21548.61
TXN-001383,01/07/2025,OPERATIONS,NA,SW,13875.0,15234.77
TXN-001300,2025-06-01,SALES,Emea,Equip.,10000.0,10989.9
TXN-000747,01-Oct-2024,HR,apac,Travel & Expenses,6960.77,6585.27
TXN-001324,2025-06-01,I.T.,N. America,Ads,20000.0,16961.86
TXN-001553,01-Sep-2025,it,emea,software,12750.0,"$11,970.08"
TXN-000867,December 2024,Operations,Apac,travel,8000.0,7787.77
TXN-000294,2024-04-01,hr,EMEA,Advertising,22598.08,19900.7
TXN-000124,01-Feb-2024,I.T.,N. America,Advertising,22598.08,20196.33
TXN-000445,2024-06-01,H.R.,emea,equipment,10000.0,11658.62
TXN-001699,11/01/2025,Information Technology,NA,Advertising,18500.0,21960.01
TXN-001114,March 2025,Human Resources,NA,Ads,23000.0,25625.12
TXN-000601,September 2024,Marketing ,N. America,payroll,68000.0,66650.76
TXN-001672,11/01/2025,Sales,emea,Travel & Expenses,,7127.06
TXN-001035,02/01/2025,it,APAC,Equipment,11299.04,14208.29
TXN-001354,07/01/2025,MKT,North America,advertising,18500.0,18857.64
TXN-000437,June 2024,Human Resources,north america,Travel & Expenses,8000.0,6285.49
TXN-001450,01/08/2025,sales,emea,Equipment,8700.96,8593.94
TXN-001540,2025-09-01,operations,EMEA,Equip.,8500.0,8564.96
TXN-001479,08/01/2025,Information Technology,EMEA,Ads,17401.92,18982.39
TXN-000754,11/01/2024,Marketing,NA,Advertising,18500.0,21577.98
TXN-000690,01-Oct-2024,Mktg,APAC,equipment,8700.96,
TXN-001416,01/07/2025,H.R.,emea,,74000.0,54515.78
TXN-001535,September 2025,OPERATIONS,N. America,Equip.,8500.0,9213.55
TXN-001703,11/01/2025,it,emea,software,13875.0,11643.05
TXN-001441,01-Aug-2025, Sales,NA,Payroll,,42274.41
TXN-001110,March 2025,Information Technology,Apac,Equip.,11500.0,14113.09
TXN-001562,September 2025,H.R.,N. America,Travel,6800.0,
TXN-000439,June 2024,Human Resources,North America,advertising,20000.0,19093.55
TXN-000335,01/05/2024,Ops,north america,Equipment,10750.0,7970.33
TXN-001391,2025-07-01,Ops,APAC,PAYROLL,74000.0,77515.43
TXN-001023,2025-02-01,IT,North America,SW,16948.56,16645.88
TXN-000190,03/01/2024,OPERATIONS,emea,Equip.,11500.0,13582.88
TXN-001754,01-Dec-2025,sales,Asia Pacific,Advertising,20000.0,20673.75
TXN-001709,11/01/2025,I.T.,Asia Pacific,advertising,,20705.01
TXN-001181,01-Apr-2025,Information Technology,Apac,payroll,90392.3,70653.23
TXN-000125,01-Feb-2024,it,North America,Equipment,11299.04,14136.42
TXN-001304,01-Jun-2025,Sales,apac,Ads,20000.0,15275.8
TXN-001151,04/01/2025,sales,apac,PAYROLL,90392.3,93674.42
TXN-001182,01/04/2025,it,Apac,Travel & Expenses,9039.23,8045.55
TXN-000073,01/01/2024,HR,APAC,software,16125.0,17667.88
TXN-001081,01/03/2025,Operations,North America,PAYROLL,92000.0,81301.8
TXN-001036,01-Feb-2025,hr,NA,payroll,90392.3,110838.53
TXN-000185,01-Mar-2024,Operations,NA,Equip.,11500.0,10915.29
TXN-001629,October 2025,Information Technology,EMEA,Advertising,17401.92,14675.36
TXN-000036,2024-01-01,operations,EMEA,Payroll,86000.0,100770.2
TXN-001643,01/10/2025,Human Resources,emea,software,13051.44,"$11,881.48"
TXN-000427,June 2024,I.T.,emea,Travel,8000.0,8090.87
TXN-001599,01-Oct-2025,sales,emea,Ads,17401.92,16044.38
TXN-000105,February 2024, Sales,Apac,equipment,11299.04,15695.2
TXN-000465,07/01/2024,Marketing ,APAC,Equipment,9250.0,-10929.94
TXN-001001,February 2025,SALES,APAC,Payroll,90392.3,82108.19
TXN-001626,10/01/2025,IT,EMEA,Payroll,69607.7,76427.1
TXN-000774,01/11/2024,SALES,emea,advertising,18500.0,16676.72
TXN-001269,01-May-2025,hr,Emea,Ads,21500.0,25782.33
TXN-000920,January 2025, Sales,NA,equipment,10750.0,10528.87
TXN-001668,01-Nov-2025,sales,N. America,SW,13875.0,14465.36
TXN-000629,01/09/2024,SALES,Asia Pacific,Advertising,17000.0,21096.29
TXN-000262,2024-04-01,OPERATIONS,emea,Travel & Expenses,9039.23,8700.29
TXN-001306,01-Jun-2025,operations,North America,payroll,80000.0,78404.16
TXN-000343,01-May-2024,Ops,apac,software,16125.0,14545.06
TXN-001625,01-Oct-2025,I.T.,north america,Equipment,8700.96,7611.28
TXN-000173,03/01/2024,Sales,emea,software,17250.0,16577.08
TXN-001341,06/01/2025,hr,EMEA,payroll,80000.0,84429.14
TXN-000236,04/01/2024,Mktg,apac,payroll,90392.3,71312.14
TXN-000808,2024-11-01,I.T.,Apac,SW,13875.0,17042.09
TXN-000363,01-May-2024,Human Resources,N. America,SW,16125.0,16213.42
TXN-000283,04/01/2024,IT,APAC,Software,16948.56,18758.56
TXN-001406,2025-07-01,IT,apac,payroll,74000.0,69253.34
TXN-001244,May 2025,operations,apac,advertising,21500.0,20426.72
TXN-001067,01-Mar-2025,Sales,north america,Travel,9200.0,10413.58
TXN-000301,2024-05-01,Marketing ,NA,Payroll,86000.0,86891.3
TXN-000825,2024-11-01,H.R.,APAC,Equip.,9250.0,12757.32
TXN-001343,01-Jun-2025,hr,EMEA,software,15000.0,15997.75
TXN-000620,01-Sep-2024,sales,north america,Equip.,8500.0,10263.28
TXN-001464,01-Aug-2025,Operations,emea,advertising,17401.92,17453.95
TXN-000954,01/01/2025,I.T.,emea,Advertising,21500.0,15874.43
TXN-000618,01-Sep-2024,sales,NA,SW,12750.0,13031.04
TXN-000650,09/01/2024,I.T.,NA,equipment,8500.0,
TXN-001274,May 2025,hr,Asia Pacific,Advertising,21500.0,
TXN-000347,01-May-2024,Information Technology,NA,Travel,8600.0,7853.13
TXN-000386,2024-06-01,Mktg,Asia Pacific,PAYROLL,80000.0,82888.9
TXN-001394,July 2025,OPERATIONS,Apac,Advertising,18500.0,
TXN-001789,2025-12-01,HR,north america,Advertising,20000.0,17084.01
TXN-000862,01-Dec-2024,Ops,emea,Travel,8000.0,9138.01
TXN-000813,01-Nov-2024,HR,NA,SW,13875.0,18462.39
TXN-001659,01/11/2025,MKT,EMEA,advertising,18500.0,16935.93
TXN-000655,01-Sep-2024,IT,Emea,Equipment,8500.0,9972.47
TXN-000582,01-Aug-2024,Information Technology,Apac,Travel & Expenses,6960.77,5036.6
TXN-000532,2024-08-01,MKT,Emea,Travel,6960.77,6818.0
TXN-000784,01-Nov-2024,OPERATIONS,N. America,advertising,18500.0,19418.45
TXN-000259,04/01/2024,operations,NA,Ads,22598.08,"$22,082.95"
TXN-000343,01-May-2024,Ops,apac,software,16125.0,14545.06
TXN-000833,01/12/2024,marketing,Emea,SW,15000.0,17302.88
TXN-001317,2025-06-01,Operations,apac,travel,8000.0,8393.36
TXN-000619,01-Sep-2024,Sales,N. America,Advertising,17000.0,19518.06
TXN-000323,05/01/2024,SALES,EMEA,SW,16125.0,15308.05
TXN-000864,12/01/2024,Operations,,advertising,20000.0,19923.43
TXN-000493,2024-07-01,Operations,Apac,SW,13875.0,12583.77
TXN-001319,01/06/2025,Operations,Apac,Ads,20000.0,21998.08
TXN-001736,December 2025,Marketing,Apac,Payroll,80000.0,78610.62
TXN-001790,01/12/2025,hr,north america,Equipment,10000.0,8252.02
TXN-000688,2024-10-01,marketing,APAC,,13051.44,15098.4
TXN-000041,January 2024,OPERATIONS,apac,Payroll,86000.0,86125.15
TXN-001788,01-Dec-2025,Human Resources,north america,SW,15000.0,13005.76
TXN-000986,01-Feb-2025,MKT,apac,PAYROLL,90392.3,74053.07
TXN-001202,05/01/2025,Marketing,NA,travel,8600.0,"$7,861.19"
TXN-000797,11/01/2024,Information Technology,north america,Travel,7400.0,8350.83
TXN-000432,01/06/2024,Information Technology,Apac,Travel & Expenses,8000.0,10848.4
TXN-000861,12/01/2024,OPERATIONS,Emea,payroll,80000.0,83162.44
TXN-000534,August 2024,Marketing ,Emea,Advertising,17401.92,16063.3
TXN-000400,2024-06-01,SALES,emea,equipment,10000.0,10057.87
TXN-001375,01/07/2025,Sales,emea,Equipment,9250.0,9520.5
TXN-000467,01/07/2024,SALES,,Travel & Expenses,7400.0,5038.65
TXN-001739,December 2025,Marketing ,Apac,Advertising,20000.0,18582.41
TXN-000621,09/01/2024, Sales,Emea,payroll,68000.0,63849.23
TXN-000248,01/04/2024,Sales,emea,SW,16948.56,20910.58
TXN-001595,01/10/2025, Sales,North America,Equip.,8700.96,11043.33
TXN-001721,November 2025,H.R.,Apac,Payroll,74000.0,71593.14
TXN-001629,October 2025,Information Technology,EMEA,Advertising,17401.92,14675.36
TXN-000035,01-Jan-2024,operations,N. America,equipment,10750.0,10637.63
TXN-001650,October 2025,hr,APAC,Equipment,8700.96,8178.82
TXN-000203,March 2024,I.T.,emea,Software,17250.0,17131.48
TXN-000085,01-Feb-2024,marketing,EMEA,Equip.,11299.04,10305.06
TXN-001158,2025-04-01,Operations,N. America,software,16948.56,18920.24
TXN-000588,08/01/2024,Human Resources,NA,software,13051.44,11604.06
TXN-000959,01-Jan-2025,IT,apac,advertising,21500.0,18500.61
TXN-001215,01-May-2025,Marketing,APAC,Equipment,10750.0,11874.35
TXN-001334,01-Jun-2025,IT,Asia Pacific,Advertising,20000.0,19862.87
TXN-001153,2025-04-01, Sales,apac,software,16948.56,26233.91
TXN-001427,01/08/2025,MKT,north america,travel,6960.77,6144.41
TXN-000721,01/10/2024,it,NA,PAYROLL,69607.7,82199.12
TXN-001660,01-Nov-2025,marketing,Emea,equipment,9250.0,12443.22
TXN-001124,2025-03-01,Human Resources,APAC,advertising,23000.0,18335.58
TXN-000457,July 2024,MKT,,Travel,7400.0,8583.25
TXN-000965,01-Jan-2025,HR,North America,Equip.,10750.0,14076.92
TXN-001700,01-Nov-2025,I.T.,NA,Equipment,9250.0,11390.49
TXN-001345,01/06/2025,H.R.,emea,Equip.,10000.0,11442.62
TXN-000824,01/11/2024,Human Resources,apac,Ads,18500.0,19510.66
TXN-001049,2025-02-01,H.R.,Apac,Advertising,22598.08,"$22,322.61"
TXN-001592,01-Oct-2025,Sales,NA,Travel,6960.77,5879.08
TXN-000995,01/02/2025, Sales,NA,Equipment,11299.04,10789.64
TXN-001445,August 2025,Sales,North America,Equip.,8700.96,"$8,553.23"
TXN-001204,01/05/2025,Marketing ,North America,Advertising,21500.0,19351.66
TXN-001349,01-Jun-2025,H.R.,Apac,advertising,20000.0,
TXN-001042,01-Feb-2025,Human Resources,emea,Travel & Expenses,9039.23,"$6,100.31"
TXN-000188,01/03/2024,OPERATIONS,emea,Software,17250.0,20374.54
